Country,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,Total_for_5_years
South Africa,,,,,,,,,,,,,,,,,,,,3892.5,3488.9,3169.8,3638.9,3639.9,17829.9
South Sudan,,,,,,,,,,,,,,,,,,,,1301.5,1151.9,135.3,72.4,59.4,2720.5
Spain,,,,,,,,,,,,,,,,,,,,17178.5,15188.9,14014.4,16043.5,18248.3,80673.7
Sri Lanka,,,,,,,,,,,,,,,,,,,,1914.6,2057.9,1741.5,1866.5,1681.4,9261.9
Sudan,,,,,,,,,,,,,,,3180.5,,,,,,2279.6,2748.5,4383.0,1047.9,13639.5
Sweden,,,,,,,,,,,,,,,,,,,,6555.5,5387.1,5427.5,5526.6,5755.4,28652.2
Switzerland,,,,,,,,,,,,,,,,,,,,4612.8,4521.1,4571.3,4628.4,4795.8,23129.5
Syria,,,,,,,,,,,,,1599.0,1732.4,2182.0,2346.0,2494.9,,,,,,,,10354.3
Taiwan,,,,,,,,,,,,,,,,,,,,9802.4,9803.3,9663.7,10480.0,10713.7,50463.1
Tajikistan,,,,,,,,,,,,,,,,53.8,71.3,76.3,,104.3,95.8,,,,401.4
Tanzania,,,,,,,,,,,,,,,,,,,,507.3,517.1,544.2,611.2,675.5,2855.3
Thailand,,,,,,,,,,,,,,,,,,,,5729.8,5724.8,5876.3,6305.9,6829.2,30466.0
Timor-Leste,,,,,,,,,,,,,,,,,,,,29.6,37.0,26.2,25.4,20.6,138.9
Togo,,,,,,,,,,,,,,,,,,,,83.1,70.0,82.0,88.4,104.4,427.9
Trinidad & Tobago,,,,,,,,,,,,,,,,,,,,188.9,202.1,216.3,202.8,169.3,979.4
Tunisia,,,,,,,,,,,,,,,,,,,,908.4,979.5,987.7,858.9,844.2,4578.8
Turkey,,,,,,,,,,,,,,,,,,,,17772.2,15880.9,17854.0,17824.0,18967.1,88298.2
Turkmenistan,135.6,48.5,106.2,87.5,111.9,,,,,,,,,,,,,,,,,,,,489.8
UAE,,,,,,,,,,,,,,,,17504.7,19181.8,19024.1,23561.1,22755.1,,,,,102026.7
